"feature","sign_fscore","sign_fscore_0_1","variance","corr","mi_score","boruta_rank"
"subscription_length",1.61424689559157e-66,1,17.1571009250858,0.0778573214410747,0.00348927052792569,0
"subscription_length_sqrt",1.23624181246968e-67,1,0.945278604315766,0.0778573214410747,0.00348927052792569,0
"vehicle_age_cut",2.80331806124899e-09,1,1.18689797341691,-0.0277675229620909,0.00120276217996163,0
"vehicle_age",2.93611311542385e-09,1,1.27919505159739,-0.0277697006595482,0.00120276217996163,0
"customer_age",2.66396791674238e-06,1,47.9876188780084,0.0198044865483644,0,0
"customer_age_log",3.27145631814417e-06,1,0.258521565561707,0.0198044865483644,0,0
"segment_B2",0.000767067282265623,1,0.214061428901219,0.0155393646856876,0,0
"cylinder",0.00089495938448087,1,0.234056320589733,0.0153417471400775,0,0
"is_adjustable_steering_Yes",0.00114552976974194,1,0.238800903977672,0.0150207115052163,0,0
"max_torque_113Nm.4400rpm",0.00150360670000423,1,0.210396924821902,0.0146599317901238,0,0
"max_power_88.50bhp.6000rpm",0.00150360670000423,1,0.210396924821902,0.0146599317901238,0,0
"steering_type_Electric",0.00426111041730648,1,0.241175409113069,0.0132013149090951,0,0
"is_front_fog_lights_Yes",0.00818544921572213,1,0.243936484078859,0.0122137357632916,0,0
"model_M6",0.0126830072137909,1,0.178698759486379,0.0115127586777847,0,0
"is_driver_seat_height_adjustable_Yes",0.0157049762447047,1,0.242883914620102,0.0111578306623813,0,0
"is_brake_assist_Yes",0.0161639951174965,1,0.247746942385785,0.0111092939477966,0,0
"is_day_night_rear_view_mirror_Yes",0.0208536164681192,1,0.235141862724597,0.0106725248205493,0,0
"fuel_type_Petrol",0.0336621603171292,1,0.226811224755739,0.00981101162798762,0,0
"displacement",0.0658051783726729,0,71186.2026145612,0.00870430443766598,0,0
"model_M5",0.0858187253760033,0,0.0271673558748861,0.00793479826256688,0,0
"max_torque_200Nm.3000rpm",0.0858187253760033,0,0.0271673558748861,0.00793479826256688,0,0
"max_power_88.77bhp.4000rpm",0.0858187253760033,0,0.0271673558748861,0.00793479826256688,0,0
"is_parking_sensors_Yes",0.0943449294644298,0,0.0386182407593386,0.00772709788311789,0,0
"is_power_door_locks_Yes",0.0954651834032015,0,0.199666144394625,0.007700942237153,0,0
"is_central_locking_Yes",0.0954651834032015,0,0.199666144394625,0.007700942237153,0,0
"is_ecw_Yes",0.0954651834032015,0,0.199666144394625,0.007700942237153,0,0
"length",0.16531910227804,0,97217.4138230203,0.00746174225202486,0,0
"width",0.0246177473938066,1,12567.6849292562,0.00737607183410439,0,0
"is_speed_alert_Yes",0.150253507931555,0,0.00644368438607229,0.00664502348958692,0,0
"model_M2",0.175990052176182,0,0.0181755903066679,0.0062504265406572,0,0
"gross_weight",0.497889883493877,0,45312.7034688031,0.00485581877066195,0,0
"model_M7",0.311036911545707,0,0.0470466497541717,0.00467927040205157,0,0
"turning_radius",0.672551302238689,0,0.0521252773929586,0.0038354395752322,0,0
"ncap_rating",0.316299769681951,0,1.94361893502347,0.00361069057770189,0,0
"is_parking_camera_No",0.694243583325026,0,0.238266237027991,0.00181574955063971,0,0
"is_tpms_No",0.737440131258292,0,0.182431401877152,0.00154850463425694,0,0
"rear_brakes_type_Drum",0.737440131258292,0,0.182431401877152,0.00154850463425694,0,0
"is_esc_Yes",0.757302900102406,0,0.215613671724659,0.00142739075427156,0,0
"fuel_type_Diesel",0.772109319909455,0,0.211927376421449,0.0013377468766979,0,0
"is_rear_window_defogger_Yes",0.774360428715812,0,0.227928151059495,0.00132416262932285,0,0
"segment_C1",0.802290541859187,0,0.0580427336442045,0.00115652844965631,0,0
"is_rear_window_wiper_Yes",0.865986621135115,0,0.205714493485567,0.000779499310781599,0,0
"is_rear_window_washer_Yes",0.865986621135115,0,0.205714493485567,0.000779499310781599,0,0
"transmission_type_Manual",0.88356880684462,0,0.226992820715701,0.000676440471665323,0,0
"airbags",0.874955306648483,0,3.35879660785308,0.000620152911730644,0,0
"segment_Utility",0.900119060596159,0,0.0200209122559702,0.000579738003032289,0,0
"model_M10",0.900119060596159,0,0.0200209122559702,0.000579738003032289,0,0
"max_torque_85Nm.3000rpm",0.900119060596159,0,0.0200209122559702,0.000579738003032289,0,0
"max_power_61.68bhp.6000rpm",0.900119060596159,0,0.0200209122559702,0.000579738003032289,0,0
"steering_type_Manual",0.900119060596159,0,0.0200209122559702,0.000579738003032289,0,0
"is_power_steering_No",0.900119060596159,0,0.0200209122559702,0.000579738003032289,0,0
"model_M9",0.971937643956006,0,0.0355072599841065,-0.000162488952566743,0,0
"max_torque_200Nm.1750rpm",0.971937643956006,0,0.0355072599841065,-0.000162488952566743,0,0
"max_power_97.89bhp.3600rpm",0.971937643956006,0,0.0355072599841065,-0.000162488952566743,0,0
"is_power_steering_Yes",0.900119060594819,0,0.0200209122559702,-0.000579738003032289,0,0
"transmission_type_Automatic",0.883568806844603,0,0.226992820715701,-0.000676440471665323,0,0
"is_rear_window_wiper_No",0.865986621134328,0,0.205714493485567,-0.000779499310781599,0,0
"is_rear_window_washer_No",0.865986621134328,0,0.205714493485567,-0.000779499310781599,0,0
"is_rear_window_defogger_No",0.77436042871529,0,0.227928151059495,-0.00132416262932285,0,0
"is_esc_No",0.757302900105742,0,0.215613671724659,-0.00142739075427156,0,0
"segment_C2",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"model_M4",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"max_torque_250Nm.2750rpm",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"max_power_113.45bhp.4000rpm",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"is_tpms_Yes",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"rear_brakes_type_Disc",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"is_parking_camera_Yes",0.69424358332447,0,0.238266237027991,-0.00181574955063971,0,0
"model_M11",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"max_torque_170Nm.4000rpm",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"max_power_118.36bhp.5500rpm",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"is_speed_alert_No",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"segment_B1",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"model_M8",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"max_torque_82.1Nm.3400rpm",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"max_power_55.92bhp.5300rpm",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"is_power_door_locks_No",0.0954651834030653,0,0.199666144394625,-0.007700942237153,0,0
"is_central_locking_No",0.0954651834030653,0,0.199666144394625,-0.007700942237153,0,0
"is_ecw_No",0.0954651834030653,0,0.199666144394625,-0.007700942237153,0,0
"model_M3",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"max_torque_91Nm.4250rpm",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"max_power_67.06bhp.5500rpm",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"is_parking_sensors_No",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"model_M1",0.0802007893506696,0,0.190077123782166,-0.00808095302202392,0,0
"max_torque_60Nm.3500rpm",0.0802007893506696,0,0.190077123782166,-0.00808095302202392,0,0
"max_power_40.36bhp.6000rpm",0.0802007893506696,0,0.190077123782166,-0.00808095302202392,0,0
"is_day_night_rear_view_mirror_No",0.0208536164681677,1,0.235141862724597,-0.0106725248205493,0,0
"region_density",7.36277532376088e-05,1,312307634.937706,-0.010766179747247,0,0
"region_density_sqrt",0.000880416082990293,1,3332.53028750369,-0.010766179747247,0,0
"segment_A",0.016738098892083,1,0.208158258445823,-0.0110502649647741,0,0
"fuel_type_CNG",0.0161937350297042,1,0.226726669745658,-0.0111061912190691,0,0
"is_brake_assist_No",0.0161639951174825,1,0.247746942385785,-0.0111092939477966,0,0
"is_driver_seat_height_adjustable_No",0.015704976244744,1,0.242883914620102,-0.0111578306623813,0,0
"is_front_fog_lights_No",0.00818544921571416,1,0.243936484078859,-0.0122137357632916,0,0
"steering_type_Power",0.004053146513183,1,0.244598782348866,-0.0132744692985151,0,0
"is_adjustable_steering_No",0.00114552976975043,1,0.238800903977672,-0.0150207115052163,0,0
